timestamp,flight_mode,armed,latitude,longitude,altitude_m,heading_deg,battery_voltage,battery_percent,current_draw_a,gps_fix,satellite_count,link_quality,imu_status,rangefinder_distance_m
1782678011.8312247,LOITER,False,30.2672,-97.7431,15.0,0.0,25.2,100.0,12.0,3D,14,95.0,OK,3.5
1782678012.3329685,LOITER,False,30.26721,-97.74311,15.67,4.0,25.17,99.6,13.1,3D,14,95.0,OK,3.7
1782678012.8347592,LOITER,False,30.26722,-97.74312,16.33,8.0,25.15,99.1,14.3,3D,14,95.0,OK,3.89
1782678013.3366807,LOITER,False,30.267229999999998,-97.74313,16.98,12.0,25.12,98.7,15.3,3D,14,95.0,OK,4.06
1782678013.8386729,LOITER,False,30.267239999999997,-97.74314,17.62,16.0,25.09,98.3,16.3,3D,14,95.0,OK,4.22
1782678014.3405216,LOITER,False,30.26725,-97.74315,18.24,20.0,25.07,97.9,17.2,3D,14,95.0,OK,4.34
1782678014.8421998,LOITER,False,30.26726,-97.74316,18.84,24.0,25.04,97.4,18.0,3D,14,95.0,OK,4.43
1782678015.3437881,LOITER,False,30.26727,-97.74316999999999,19.41,28.0,25.01,97.0,18.7,3D,14,95.0,OK,4.49
1782678015.8457978,LOITER,False,30.26728,-97.74318,19.95,32.0,24.99,96.6,19.3,3D,14,95.0,OK,4.5
1782678016.3476357,LOITER,False,30.26729,-97.74319,20.45,36.0,24.96,96.2,19.7,3D,14,95.0,OK,4.47
1782678016.849711,LOITER,False,30.2673,-97.7432,20.92,40.0,24.94,95.7,19.9,3D,14,95.0,OK,4.41
1782678017.351638,LOITER,True,30.26731,-97.74321,21.35,44.0,24.91,95.3,20.0,3D,14,95.0,OK,4.31
1782678017.8539324,LOITER,True,30.267319999999998,-97.74322,21.73,48.0,24.88,94.9,19.9,3D,14,95.0,OK,4.18
1782678018.3558571,LOITER,True,30.267329999999998,-97.74323,22.07,52.0,24.86,94.5,19.7,3D,14,95.0,OK,4.02
1782678018.8578715,LOITER,True,30.267339999999997,-97.74324,22.36,56.0,24.83,94.0,19.3,3D,14,95.0,OK,3.83
1782678019.359571,LOITER,True,30.26735,-97.74325,22.59,60.0,24.8,93.6,18.7,3D,14,95.0,OK,3.64
